issue,kruskal_h,kruskal_p,kruskal_p_adj,kruskal_significant
other,98.33396172680858,3.534518933857191e-23,3.1810670404714716e-22,True
delayed flight,29.036964348406244,7.10103208748637e-08,4.97072246124046e-07,True
poor customer service,43.316407856257875,4.6566229491043e-11,3.72529835928344e-10,True
cancelled flight,13.709597842407778,0.00021336131426134166,0.0010668065713067083,True
ticket issue,8.627559836178666,0.0033111481373260822,0.013244592549304329,True
lost baggage,1.1814446104785203,0.27706209771296564,0.8311862931388969,False
uncomfortable flight,17.808049938906247,2.4434726922757614e-05,0.00014660836153654569,True
discrimination,0.3780666993998811,0.5386397264359715,1.0,False
trouble with refunds,0.0028505170637890603,0.9574209864251195,1.0,False
